t,acc[0],acc[1],acc[2],speed[0],speed[1],speed[2],pos[0],pos[1],pos[2],omegadot[0],omegadot[1],omegadot[2],omega[0],omega[1],omega[2],q[0],q[1],q[2],q[3],forces[0],forces[1],forces[2],torque[0],torque[1],torque[2]
2.647740364074707,0.0,0.0,-9.81,1.0,0.0,-25.974332971572874,2.647740364074707,0.0,-36.23310131126832,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.6985385417938232,0.0,0.0,-9.81,1.0,0.0,-26.472663094997404,2.6985385417938232,0.0,-37.57786435586629,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.748028039932251,0.0,0.0,-9.81,1.0,0.0,-26.95815507173538,2.748028039932251,0.0,-38.912009921104385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.798624038696289,0.0,0.0,-9.81,1.0,0.0,-27.454501819610595,2.798624038696289,0.0,-40.301097861236684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.865182399749756,0.0,0.0,-9.81,1.0,0.0,-28.107439341545103,2.865182399749756,0.0,-42.17188295721966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.9152252674102783,0.0,0.0,-9.81,1.0,0.0,-28.59835987329483,2.9152252674102783,0.0,-43.60302689566695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.948745012283325,0.0,0.0,-9.81,1.0,0.0,-28.927188570499418,2.948745012283325,0.0,-44.572658876444606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.998389720916748,0.0,0.0,-9.81,1.0,0.0,-29.414203162193296,2.998389720916748,0.0,-46.032918422116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.0483195781707764,0.0,0.0,-9.81,1.0,0.0,-29.904015061855315,3.0483195781707764,0.0,-47.526021625476744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.098428964614868,0.0,0.0,-9.81,1.0,0.0,-30.395588142871855,3.098428964614868,0.0,-49.04912589792337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.1484930515289307,0.0,0.0,-9.81,1.0,0.0,-30.88671683549881,3.1484930515289307,0.0,-50.59544117406582,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.2151167392730713,0.0,0.0,-9.81,1.0,0.0,-31.54029521226883,3.2151167392730713,0.0,-52.69677195364603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.2651243209838867,0.0,0.0,-9.81,1.0,0.0,-32.03086958885193,3.2651243209838867,0.0,-54.29855828187901,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.3151726722717285,0.0,0.0,-9.81,1.0,0.0,-32.52184391498566,3.3151726722717285,0.0,-55.926222950664574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.3650646209716797,0.0,0.0,-9.81,1.0,0.0,-33.01128393173218,3.3650646209716797,0.0,-57.57322023510608,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.4150705337524414,0.0,0.0,-9.81,1.0,0.0,-33.501841936111454,3.4150705337524414,0.0,-59.248510420958134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.465144395828247,0.0,0.0,-9.81,1.0,0.0,-33.99306652307511,3.465144395828247,0.0,-60.95067454556828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.515091896057129,0.0,0.0,-9.81,1.0,0.0,-34.483051500320435,3.515091896057129,0.0,-62.67301676827308,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.565279006958008,0.0,0.0,-9.81,1.0,0.0,-34.97538705825806,3.565279006958008,0.0,-64.42833039736703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.6151068210601807,0.0,0.0,-9.81,1.0,0.0,-35.464197914600376,3.6151068210601807,0.0,-66.1954338583384,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.665170907974243,0.0,0.0,-9.81,1.0,0.0,-35.95532660722733,3.665170907974243,0.0,-67.99550445462614,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.6987757682800293,0.0,0.0,-9.81,1.0,0.0,-36.28499028682709,3.6987757682800293,0.0,-69.21485648441177,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.748349905014038,0.0,0.0,-9.81,1.0,0.0,-36.77131256818772,3.748349905014038,0.0,-71.03776256155608,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.8151490688323975,0.0,0.0,-9.81,1.0,0.0,-37.42661236524582,3.8151490688323975,0.0,-73.53782897210837,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.865161418914795,0.0,0.0,-9.81,1.0,0.0,-37.917233519554145,3.865161418914795,0.0,-75.43415892904433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.9149959087371826,0.0,0.0,-9.81,1.0,0.0,-38.406109864711766,3.9149959087371826,0.0,-77.3481078202148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
3.96506929397583,0.0,0.0,-9.81,1.0,0.0,-38.8973297739029,3.96506929397583,0.0,-79.29582879873816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.0150392055511475,0.0,0.0,-9.81,1.0,0.0,-39.38753460645676,4.0150392055511475,0.0,-81.26402042019255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.0650410652160645,0.0,0.0,-9.81,1.0,0.0,-39.878052849769595,4.0650410652160645,0.0,-83.25799722249687,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.115069389343262,0.0,0.0,-9.81,1.0,0.0,-40.3688307094574,4.115069389343262,0.0,-85.27758216986555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.164981842041016,0.0,0.0,-9.81,1.0,0.0,-40.85847187042236,4.164981842041016,0.0,-87.31692871440052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.198854207992554,0.0,0.0,-9.81,1.0,0.0,-41.19075978040695,4.198854207992554,0.0,-88.71215720350436,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
